order_id,order_date,shipping_mode,product_category,product_subcategory,weight_kg,distance_km,shipping_cost,expected_delivery_date,actual_delivery_date,delay_days,is_delayed,warehouse_region,customer_segment
ORDER-00038,2023-06-16,Standard Class,Technology,Machines,30.61,210.5,334.36,2023-06-21,2023-06-23,2,1,North,Corporate
ORDER-00039,2023-10-01,Same Day,Technology,Accessories,22.51,49.2,125.88,2023-10-02,2023-10-02,0,0,North,Corporate
ORDER-00040,2024-01-23,Standard Class,Office Supplies,Pens,37.25,221.7,422.77,2024-01-26,2024-01-28,2,1,West,Corporate
ORDER-00041,2023-11-12,First Class,Technology,Accessories,11.8,119.2,118.72,2023-11-17,2023-11-18,1,1,West,Consumer
ORDER-00042,2023-01-14,First Class,Office Supplies,Storage,3.39,149.1,54.19,2023-01-16,2023-01-16,0,0,West,Corporate
ORDER-00043,2023-08-30,Second Class,Office Supplies,Pens,15.35,387.3,375.92,2023-08-31,2023-09-01,1,1,East,Corporate
ORDER-00044,2023-12-12,First Class,Furniture,Furnishings,23.98,42.4,93.62,2023-12-16,2023-12-16,0,0,West,Home Office
ORDER-00045,2023-12-06,First Class,Technology,Machines,8.82,414.7,311.2,2023-12-09,2023-12-12,3,1,South,Corporate
ORDER-00046,2023-04-02,Standard Class,Technology,Machines,18.06,216.7,213.21,2023-04-06,2023-04-06,0,0,East,Home Office
ORDER-00047,2024-01-02,Standard Class,Office Supplies,Pens,20.3,300.1,311.81,2024-01-07,2024-01-10,3,1,East,Home Office
ORDER-00048,2024-03-30,Second Class,Furniture,Chairs,3.34,49.4,25.52,2024-04-03,2024-04-04,1,1,North,Home Office
ORDER-00049,2024-03-03,First Class,Technology,Copiers,29.37,172.0,415.66,2024-03-09,2024-03-09,0,0,South,Consumer
ORDER-00050,2024-05-23,First Class,Furniture,Furnishings,44.27,49.4,183.71,2024-05-24,2024-05-25,1,1,North,Home Office
ORDER-00051,2023-02-04,First Class,Technology,Copiers,8.01,481.0,323.53,2023-02-07,2023-02-09,2,1,North,Corporate
ORDER-00052,2023-07-25,Standard Class,Technology,Machines,30.09,404.6,624.86,2023-08-02,2023-08-04,2,1,South,Consumer
ORDER-00053,2023-03-22,First Class,Office Supplies,Paper,33.4,232.5,628.94,2023-03-24,2023-03-24,0,0,North,Consumer
ORDER-00054,2024-01-23,Standard Class,Furniture,Tables,21.26,115.7,141.71,2024-01-27,2024-01-28,1,1,South,Consumer
ORDER-00055,2023-01-02,Second Class,Technology,Phones,35.2,467.1,1002.78,2023-01-06,2023-01-08,2,1,South,Consumer
ORDER-00056,2024-01-25,Standard Class,Technology,Phones,20.83,175.6,201.89,2024-02-01,2024-02-03,2,1,North,Consumer
ORDER-00057,2023-04-16,Standard Class,Office Supplies,Binders,25.48,84.7,117.66,2023-04-22,2023-04-23,1,1,West,Consumer
ORDER-00058,2024-04-21,Standard Class,Technology,Copiers,0.86,283.8,31.29,2024-04-22,2024-04-22,0,0,North,Consumer
ORDER-00059,2024-02-06,Standard Class,Furniture,Tables,34.74,472.2,830.74,2024-02-11,2024-02-14,3,1,East,Home Office
ORDER-00060,2023-06-11,Second Class,Office Supplies,Pens,33.24,6.9,19.57,2023-06-12,2023-06-12,0,0,North,Corporate
ORDER-00061,2023-07-21,Standard Class,Technology,Copiers,2.4,122.9,31.19,2023-07-30,2023-07-31,1,1,South,Corporate
ORDER-00062,2023-09-27,Standard Class,Technology,Machines,18.73,469.5,455.24,2023-10-01,2023-10-03,2,1,East,Home Office
ORDER-00063,2023-09-28,Standard Class,Furniture,Furnishings,48.96,89.7,233.55,2023-10-02,2023-10-04,2,1,South,Home Office
ORDER-00064,2024-03-31,Standard Class,Technology,Accessories,21.33,61.1,77.51,2024-04-04,2024-04-04,0,0,West,Consumer
ORDER-00065,2024-04-06,Standard Class,Office Supplies,Paper,25.35,287.2,369.51,2024-04-11,2024-04-13,2,1,West,Consumer
ORDER-00066,2023-09-09,Standard Class,Office Supplies,Binders,45.54,431.6,997.12,2023-09-15,2023-09-16,1,1,East,Home Office
ORDER-00067,2023-10-23,Second Class,Furniture,Bookcases,36.0,241.2,532.24,2023-10-24,2023-10-24,0,0,West,Consumer
ORDER-00068,2023-12-04,Second Class,Technology,Machines,29.31,497.3,887.95,2023-12-10,2023-12-11,1,1,West,Corporate
ORDER-00069,2023-02-22,Second Class,Furniture,Tables,39.99,341.2,830.12,2023-02-24,2023-02-25,1,1,North,Corporate
ORDER-00070,2023-08-05,Standard Class,Office Supplies,Binders,43.29,41.7,109.75,2023-08-12,2023-08-13,1,1,North,Consumer
ORDER-00071,2023-07-07,Standard Class,Furniture,Furnishings,23.12,496.5,588.02,2023-07-17,2023-07-17,0,0,West,Consumer
ORDER-00072,2024-01-15,First Class,Technology,Machines,24.02,206.9,413.82,2024-01-17,2024-01-17,0,0,West,Consumer
ORDER-00073,2024-05-07,Second Class,Office Supplies,Storage,19.61,147.3,192.36,2024-05-10,2024-05-12,2,1,North,Corporate
ORDER-00074,2023-02-10,Standard Class,Technology,Copiers,48.35,281.2,693.67,2023-02-14,2023-02-17,3,1,West,Consumer
ORDER-00075,2023-06-06,Standard Class,Furniture,Furnishings,35.01,155.6,277.56,2023-06-15,2023-06-15,0,0,West,Home Office
ORDER-00076,2023-01-15,Standard Class,Office Supplies,Paper,4.62,47.8,16.56,2023-01-16,2023-01-16,0,0,South,Consumer
ORDER-00077,2023-03-06,Standard Class,Office Supplies,Binders,43.22,5.7,27.85,2023-03-18,2023-03-19,1,1,West,Home Office
ORDER-00078,2024-06-04,Standard Class,Technology,Machines,24.29,227.5,285.49,2024-06-13,2024-06-14,1,1,East,Consumer
ORDER-00079,2023-12-10,Second Class,Technology,Machines,3.9,419.2,111.78,2023-12-17,2023-12-17,0,0,South,Consumer
ORDER-00080,2023-05-09,Second Class,Furniture,Bookcases,27.71,288.3,487.36,2023-05-13,2023-05-15,2,1,East,Corporate
ORDER-00081,2024-04-16,Second Class,Office Supplies,Pens,21.15,499.6,643.05,2024-04-20,2024-04-21,1,1,West,Home Office
ORDER-00082,2023-03-04,First Class,Furniture,Tables,43.95,147.0,529.42,2023-03-06,2023-03-06,0,0,North,Home Office
ORDER-00083,2023-05-19,First Class,Office Supplies,Paper,10.6,143.8,141.58,2023-05-20,2023-05-23,3,1,South,Home Office
ORDER-00084,2024-05-13,First Class,Furniture,Tables,41.41,84.1,292.85,2024-05-15,2024-05-20,5,1,North,Corporate
ORDER-00085,2024-01-27,Same Day,Office Supplies,Storage,28.11,86.2,261.35,2024-01-28,2024-01-28,0,0,South,Home Office
ORDER-00086,2024-02-23,Standard Class,Office Supplies,Paper,3.2,146.2,42.78,2024-02-29,2024-03-01,1,1,North,Corporate
ORDER-00087,2023-10-16,Standard Class,Office Supplies,Paper,48.61,397.5,974.25,2023-10-23,2023-10-25,2,1,South,Consumer
ORDER-00088,2024-01-14,Standard Class,Office Supplies,Paper,25.87,453.3,596.01,2024-01-19,2024-01-21,2,1,South,Consumer
ORDER-00089,2024-05-04,Second Class,Technology,Phones,14.9,487.7,452.55,2024-05-08,2024-05-10,2,1,East,Home Office
ORDER-00090,2023-08-19,First Class,Office Supplies,Binders,23.74,120.0,245.91,2023-08-22,2023-08-25,3,1,North,Consumer
ORDER-00091,2023-02-10,Standard Class,Furniture,Bookcases,42.96,441.2,960.49,2023-02-14,2023-02-14,0,0,East,Consumer
ORDER-00092,2023-01-28,Same Day,Technology,Copiers,15.59,167.5,281.03,2023-01-29,2023-01-29,0,0,East,Home Office
ORDER-00093,2023-05-15,Standard Class,Furniture,Furnishings,10.04,60.9,35.75,2023-05-16,2023-05-16,0,0,North,Consumer
ORDER-00094,2023-07-20,Same Day,Office Supplies,Pens,6.89,435.7,309.69,2023-07-21,2023-07-24,3,1,South,Home Office
ORDER-00095,2023-02-02,Standard Class,Office Supplies,Pens,15.24,319.9,258.11,2023-02-09,2023-02-10,1,1,East,Home Office
ORDER-00096,2023-02-17,Standard Class,Office Supplies,Pens,39.11,86.5,181.19,2023-02-24,2023-02-27,3,1,North,Consumer
ORDER-00097,2024-05-17,Standard Class,Furniture,Bookcases,23.85,217.8,266.48,2024-05-18,2024-05-19,1,1,South,Consumer
ORDER-00098,2024-02-11,Standard Class,Office Supplies,Storage,11.76,147.2,97.07,2024-02-22,2024-02-25,3,1,East,Consumer
ORDER-00099,2023-04-09,Standard Class,Technology,Accessories,8.73,369.7,166.76,2023-04-16,2023-04-19,3,1,East,Consumer
ORDER-00100,2024-04-06,Standard Class,Office Supplies,Paper,16.97,229.4,209.29,2024-04-07,2024-04-10,3,1,East,Consumer
ORDER-00101,2023-01-05,First Class,Office Supplies,Pens,47.03,494.7,1879.65,2023-01-07,2023-01-09,2,1,South,Corporate
ORDER-00102,2023-08-06,Second Class,Office Supplies,Binders,17.48,32.1,51.94,2023-08-13,2023-08-13,0,0,East,Consumer
ORDER-00103,2024-05-17,Standard Class,Furniture,Bookcases,49.41,180.7,461.91,2024-05-23,2024-05-23,0,0,South,Corporate
ORDER-00104,2024-02-02,Second Class,Office Supplies,Pens,24.52,243.5,370.22,2024-02-08,2024-02-09,1,1,West,Home Office
ORDER-00105,2024-01-28,First Class,Technology,Phones,9.37,254.1,203.15,2024-01-30,2024-01-30,0,0,East,Consumer
ORDER-00106,2023-07-26,Standard Class,Furniture,Chairs,44.61,161.4,367.06,2023-07-31,2023-08-01,1,1,West,Consumer
ORDER-00107,2023-01-15,Standard Class,Furniture,Chairs,23.29,366.0,436.32,2023-01-21,2023-01-26,5,1,North,Consumer
ORDER-00108,2024-04-05,Standard Class,Furniture,Bookcases,35.63,438.0,788.11,2024-04-08,2024-04-10,2,1,East,Home Office
ORDER-00109,2023-08-29,Standard Class,Office Supplies,Pens,49.19,469.7,1172.55,2023-08-30,2023-09-01,2,1,North,Corporate
ORDER-00110,2023-04-06,Second Class,Technology,Copiers,2.98,403.5,90.87,2023-04-14,2023-04-15,1,1,North,Corporate
ORDER-00111,2024-04-29,Standard Class,Furniture,Chairs,5.29,426.0,125.73,2024-05-03,2024-05-07,4,1,North,Consumer
ORDER-00112,2024-02-11,Second Class,Office Supplies,Storage,36.16,277.5,617.98,2024-02-16,2024-02-18,2,1,West,Consumer
ORDER-00113,2023-08-19,First Class,Furniture,Tables,14.45,413.8,485.17,2023-08-24,2023-08-26,2,1,South,Consumer
ORDER-00114,2023-06-20,Standard Class,Technology,Machines,9.62,155.2,88.78,2023-06-26,2023-06-29,3,1,West,Consumer
ORDER-00115,2024-06-24,Second Class,Furniture,Bookcases,2.45,202.2,45.27,2024-06-30,2024-07-01,1,1,West,Home Office
ORDER-00116,2023-02-05,Standard Class,Office Supplies,Pens,1.58,161.9,24.58,2023-02-12,2023-02-13,1,1,North,Consumer
ORDER-00117,2024-06-08,Same Day,Technology,Machines,38.84,236.4,926.83,2024-06-09,2024-06-10,1,1,East,Home Office
ORDER-00118,2023-06-09,Standard Class,Technology,Copiers,7.15,146.4,70.5,2023-06-12,2023-06-12,0,0,South,Consumer
ORDER-00119,2023-08-31,First Class,Office Supplies,Binders,23.65,481.0,926.2,2023-09-03,2023-09-03,0,0,North,Corporate
ORDER-00120,2023-03-27,Second Class,Office Supplies,Pens,30.49,159.9,311.02,2023-03-29,2023-03-30,1,1,South,Corporate
ORDER-00121,2023-01-28,Standard Class,Office Supplies,Binders,21.7,53.5,75.32,2023-02-01,2023-02-03,2,1,West,Consumer
ORDER-00122,2023-12-06,Second Class,Furniture,Furnishings,1.84,265.8,49.2,2023-12-11,2023-12-12,1,1,South,Consumer
ORDER-00123,2023-11-27,Same Day,Furniture,Furnishings,39.28,33.3,138.68,2023-11-28,2023-11-29,1,1,South,Home Office
ORDER-00124,2024-05-20,Second Class,Office Supplies,Pens,1.02,59.7,9.95,2024-05-25,2024-05-27,2,1,East,Consumer
ORDER-00125,2023-12-14,First Class,Furniture,Tables,38.21,113.6,357.31,2023-12-17,2023-12-17,0,0,North,Consumer
ORDER-00126,2024-04-17,First Class,Furniture,Bookcases,44.72,234.9,847.31,2024-04-24,2024-04-28,4,1,South,Consumer
ORDER-00127,2023-08-19,Standard Class,Office Supplies,Paper,21.93,219.5,253.53,2023-08-23,2023-08-26,3,1,South,Corporate
ORDER-00128,2023-07-09,Standard Class,Technology,Phones,27.01,400.8,555.78,2023-07-11,2023-07-11,0,0,West,Home Office
ORDER-00129,2023-08-13,Second Class,Office Supplies,Paper,24.11,371.0,550.36,2023-08-14,2023-08-16,2,1,West,Corporate
ORDER-00130,2024-01-20,Standard Class,Furniture,Chairs,19.77,216.0,222.4,2024-01-26,2024-01-26,0,0,South,Home Office
ORDER-00131,2024-01-12,First Class,Furniture,Bookcases,44.43,170.2,623.59,2024-01-15,2024-01-16,1,1,North,Corporate
ORDER-00132,2023-10-10,Same Day,Technology,Phones,44.75,161.7,728.93,2023-10-11,2023-10-13,2,1,South,Consumer
ORDER-00133,2023-09-16,Standard Class,Furniture,Tables,17.12,388.1,342.43,2023-09-23,2023-09-25,2,1,South,Corporate
ORDER-00134,2023-12-25,Standard Class,Furniture,Furnishings,30.95,30.8,63.45,2023-12-31,2024-01-05,5,1,East,Corporate
ORDER-00135,2024-03-31,First Class,Office Supplies,Storage,46.38,11.3,58.43,2024-04-01,2024-04-03,2,1,North,Home Office
ORDER-00136,2024-02-15,Standard Class,Office Supplies,Paper,48.12,398.8,970.75,2024-02-17,2024-02-17,0,0,East,Home Office
ORDER-00137,2023-11-14,First Class,Office Supplies,Paper,25.69,241.2,500.97,2023-11-15,2023-11-15,0,0,North,Corporate
ORDER-00138,2023-08-13,Standard Class,Furniture,Chairs,22.91,69.8,94.23,2023-08-16,2023-08-17,1,1,North,Home Office
ORDER-00139,2023-08-22,Second Class,Furniture,Bookcases,14.3,121.6,110.28,2023-08-25,2023-08-25,0,0,North,Home Office
ORDER-00140,2024-01-09,Standard Class,Technology,Machines,47.96,466.6,1125.52,2024-01-16,2024-01-18,2,1,East,Home Office
ORDER-00141,2024-04-16,Second Class,Furniture,Chairs,7.57,430.5,210.29,2024-04-19,2024-04-23,4,1,East,Home Office
ORDER-00142,2023-08-21,Standard Class,Office Supplies,Binders,29.2,356.3,529.89,2023-08-25,2023-08-27,2,1,East,Home Office
ORDER-00143,2023-04-23,Second Class,Technology,Phones,14.49,243.7,222.09,2023-04-28,2023-04-29,1,1,West,Corporate
ORDER-00144,2024-05-11,Standard Class,Office Supplies,Storage,14.31,262.6,200.19,2024-05-17,2024-05-18,1,1,East,Home Office
ORDER-00145,2024-03-17,First Class,Office Supplies,Paper,20.55,487.7,821.46,2024-03-21,2024-03-21,0,0,West,Consumer
ORDER-00146,2023-09-25,First Class,Furniture,Furnishings,49.94,483.1,1949.56,2023-09-30,2023-09-30,0,0,West,Corporate
ORDER-00147,2024-05-24,Standard Class,Office Supplies,Paper,3.22,111.6,29.21,2024-05-25,2024-05-27,2,1,West,Corporate
ORDER-00148,2024-01-21,Standard Class,Technology,Accessories,29.14,406.5,601.25,2024-01-30,2024-01-31,1,1,South,Corporate
ORDER-00149,2024-01-22,Standard Class,Technology,Phones,4.59,102.6,33.09,2024-01-28,2024-01-29,1,1,South,Home Office
ORDER-00150,2023-04-23,Second Class,Furniture,Tables,8.15,110.7,63.16,2023-04-28,2023-05-01,3,1,South,Consumer
ORDER-00151,2023-03-22,Second Class,Furniture,Tables,22.26,339.7,466.69,2023-03-27,2023-03-29,2,1,West,Home Office
ORDER-00152,2023-04-23,Second Class,Technology,Phones,25.77,205.5,331.85,2023-04-27,2023-04-27,0,0,West,Corporate
ORDER-00153,2023-01-02,Standard Class,Technology,Accessories,13.31,466.1,322.52,2023-01-11,2023-01-11,0,0,North,Corporate
ORDER-00154,2023-08-08,Standard Class,Technology,Copiers,16.16,49.1,50.79,2023-08-13,2023-08-15,2,1,West,Corporate
ORDER-00155,2023-08-13,Second Class,Furniture,Chairs,4.8,258.2,82.53,2023-08-16,2023-08-16,0,0,South,Corporate
ORDER-00156,2024-01-20,Standard Class,Office Supplies,Paper,15.51,459.7,368.73,2024-01-26,2024-01-28,2,1,West,Home Office
ORDER-00157,2024-02-07,Same Day,Technology,Accessories,48.34,452.5,2197.5,2024-02-09,2024-02-11,2,1,West,Consumer
ORDER-00158,2023-05-10,Standard Class,Office Supplies,Binders,47.26,82.5,208.07,2023-05-11,2023-05-13,2,1,North,Consumer
ORDER-00159,2023-02-22,Second Class,Office Supplies,Paper,17.08,186.5,206.25,2023-02-28,2023-02-28,0,0,West,Corporate
ORDER-00160,2024-02-20,Standard Class,Furniture,Bookcases,28.76,311.5,462.44,2024-02-22,2024-02-23,1,1,East,Consumer
ORDER-00161,2023-09-04,Standard Class,Office Supplies,Binders,45.52,83.9,202.89,2023-09-08,2023-09-10,2,1,North,Corporate
ORDER-00162,2024-03-14,First Class,Furniture,Tables,0.81,484.2,44.72,2024-03-16,2024-03-16,0,0,West,Corporate
ORDER-00163,2023-07-22,Second Class,Office Supplies,Storage,40.63,457.8,1125.3,2023-07-24,2023-07-25,1,1,West,Consumer
ORDER-00164,2023-07-03,Same Day,Technology,Copiers,47.44,87.6,420.94,2023-07-06,2023-07-09,3,1,North,Corporate
ORDER-00165,2023-05-03,Standard Class,Office Supplies,Pens,5.02,65.0,30.69,2023-05-06,2023-05-07,1,1,West,Consumer
ORDER-00166,2024-02-05,Standard Class,Technology,Phones,8.49,47.3,28.87,2024-02-09,2024-02-11,2,1,South,Corporate
ORDER-00167,2023-10-21,First Class,Furniture,Bookcases,48.06,455.2,1765.19,2023-10-22,2023-10-23,1,1,East,Consumer
ORDER-00168,2023-10-07,Second Class,Office Supplies,Paper,27.11,100.8,180.17,2023-10-08,2023-10-09,1,1,East,Corporate
ORDER-00169,2023-07-17,Standard Class,Technology,Machines,1.2,211.1,31.4,2023-07-20,2023-07-20,0,0,South,Consumer
ORDER-00170,2024-05-25,Standard Class,Furniture,Bookcases,13.25,227.2,169.89,2024-05-29,2024-05-29,0,0,West,Corporate
ORDER-00171,2023-05-24,Standard Class,Furniture,Tables,22.77,301.5,348.42,2023-05-26,2023-05-29,3,1,West,Corporate
ORDER-00172,2023-07-20,First Class,Office Supplies,Storage,34.8,40.5,132.61,2023-07-26,2023-07-27,1,1,East,Corporate
ORDER-00173,2023-05-04,Standard Class,Furniture,Chairs,36.79,117.2,230.83,2023-05-11,2023-05-13,2,1,West,Consumer
ORDER-00174,2023-07-06,Standard Class,Technology,Machines,49.77,466.1,1174.54,2023-07-10,2023-07-11,1,1,East,Home Office
ORDER-00175,2023-11-22,Standard Class,Technology,Phones,14.73,454.7,340.11,2023-12-01,2023-12-02,1,1,East,Corporate
ORDER-00176,2024-04-08,Standard Class,Office Supplies,Storage,27.14,391.7,549.46,2024-04-19,2024-04-20,1,1,South,Corporate
ORDER-00177,2023-12-15,Standard Class,Furniture,Chairs,26.9,14.6,26.82,2023-12-19,2023-12-19,0,0,East,Consumer
ORDER-00178,2024-02-07,Second Class,Office Supplies,Pens,20.58,166.9,223.65,2024-02-09,2024-02-11,2,1,West,Corporate
ORDER-00179,2023-12-12,Standard Class,Technology,Accessories,8.87,315.8,145.29,2023-12-20,2023-12-22,2,1,West,Corporate
ORDER-00180,2024-05-25,First Class,Furniture,Chairs,48.88,141.2,566.84,2024-05-26,2024-05-27,1,1,North,Corporate
ORDER-00181,2023-05-27,Standard Class,Office Supplies,Storage,42.74,455.2,984.28,2023-05-29,2023-05-29,0,0,West,Corporate
ORDER-00182,2023-05-28,Second Class,Office Supplies,Paper,25.17,318.8,489.46,2023-05-31,2023-05-31,0,0,North,Home Office
ORDER-00183,2024-05-03,First Class,Office Supplies,Paper,30.36,40.6,105.22,2024-05-09,2024-05-11,2,1,East,Home Office
ORDER-00184,2023-12-04,Second Class,Furniture,Chairs,11.75,455.0,332.38,2023-12-06,2023-12-12,6,1,West,Corporate
ORDER-00185,2024-04-17,Second Class,Technology,Machines,27.42,479.1,795.06,2024-04-23,2024-04-26,3,1,South,Corporate
ORDER-00186,2023-05-31,Standard Class,Furniture,Tables,34.9,43.5,88.2,2023-06-02,2023-06-03,1,1,South,Corporate
ORDER-00187,2024-02-19,Standard Class,Furniture,Bookcases,26.0,268.5,363.43,2024-02-24,2024-02-24,0,0,South,Home Office
ORDER-00188,2023-10-25,Second Class,Technology,Accessories,49.52,155.2,478.54,2023-10-26,2023-10-28,2,1,East,Home Office
ORDER-00189,2023-09-20,Same Day,Technology,Phones,30.76,199.5,628.84,2023-09-21,2023-09-21,0,0,East,Consumer
ORDER-00190,2023-05-24,Second Class,Furniture,Furnishings,18.86,93.9,112.24,2023-05-30,2023-05-30,0,0,North,Consumer
ORDER-00191,2023-12-12,Second Class,Furniture,Tables,38.72,291.1,685.9,2023-12-16,2023-12-16,0,0,South,Corporate
ORDER-00192,2023-01-02,First Class,Furniture,Chairs,8.94,479.2,352.04,2023-01-07,2023-01-09,2,1,North,Corporate
ORDER-00193,2023-10-31,Standard Class,Furniture,Bookcases,19.53,254.0,266.76,2023-11-04,2023-11-04,0,0,North,Home Office
ORDER-00194,2023-09-11,Standard Class,Furniture,Bookcases,17.67,46.0,58.66,2023-09-12,2023-09-16,4,1,West,Corporate
ORDER-00195,2024-03-28,Second Class,Furniture,Bookcases,21.87,311.9,419.83,2024-03-30,2024-03-31,1,1,West,Corporate
ORDER-00196,2023-02-06,Same Day,Office Supplies,Paper,39.2,173.4,685.8,2023-02-07,2023-02-10,3,1,South,Home Office
ORDER-00197,2023-06-09,Standard Class,Technology,Machines,24.47,428.7,542.93,2023-06-15,2023-06-16,1,1,East,Home Office
ORDER-00198,2023-01-09,Second Class,Office Supplies,Binders,39.8,220.2,544.16,2023-01-15,2023-01-16,1,1,West,Home Office
ORDER-00199,2023-08-21,Standard Class,Office Supplies,Pens,29.04,100.5,163.75,2023-08-29,2023-08-30,1,1,East,Home Office
ORDER-00200,2023-04-09,Second Class,Furniture,Chairs,17.43,99.6,121.84,2023-04-10,2023-04-11,1,1,North,Consumer
ORDER-00201,2023-07-27,Standard Class,Technology,Phones,40.59,385.5,794.58,2023-08-05,2023-08-09,4,1,North,Home Office
ORDER-00202,2023-05-11,Standard Class,Technology,Accessories,12.3,136.5,91.61,2023-05-16,2023-05-20,4,1,North,Home Office
ORDER-00203,2024-02-08,First Class,Technology,Copiers,11.61,384.8,369.56,2024-02-12,2024-02-14,2,1,North,Corporate
ORDER-00204,2023-06-01,Standard Class,Technology,Phones,25.47,106.9,148.56,2023-06-05,2023-06-11,6,1,South,Corporate
ORDER-00205,2023-02-23,Second Class,Technology,Accessories,13.41,164.2,144.46,2023-02-25,2023-02-26,1,1,North,Corporate
